158,HACHAS,bueno,pieza,2,INM-007,"Albañileria","Marco Antonio"
159,"NIVEL DE MANO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
160,"ESTUCHE CON PUNTAS Y BROCAS ROTOMARTILLO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
161,"CUBETAS DE ACELERANTE PARA CONCRETO",bueno,pieza,5,INM-007,"Albañileria","Marco Antonio"
162,"CUBETA DE ADHESIVO P/CONCRETO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
163,"GALON DE PINTURA ""TRANSITO""",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
164,"GALON DE ADHESIVO PARA LAMINA VINILICA",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
165,"CORTADORA DE ACERO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
166,CARRETILLA,reparacion,pieza,1,INM-007,"Albañileria","Marco Antonio"
167,"SACOS DE COMPOSTA ",bueno,pieza,10,INM-007,"Albañileria","Marco Antonio"
168,"CAJA CON TORNILLERIA 1/2",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
169,"TERMOFUSORA CON 4 DADOS",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
170,"EXTENSION ELECTRICA",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
171,"GARRAFON DE 50 LITROS VACIOS",bueno,pieza,2,INM-007,"Albañileria","Marco Antonio"
172,LAVABOS,bueno,pieza,4,INM-007,"Albañileria","Marco Antonio"
173,REGADERAS,bueno,pieza,3,INM-007,"Albañileria","Marco Antonio"
174,"PORTA ROLLOS DE PAPEL",bueno,pieza,3,INM-007,"Albañileria","Marco Antonio"
175,MEZCLADORES,bueno,pieza,4,INM-007,"Albañileria","Marco Antonio"
176,CESPOOL,bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
177,"ROTOMARTILLO LIGERO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
178,"ROTOMARTILLO PESADO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
179,"ARCO CON SEGUETA",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
180,"CORTADORA DE TUBO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
181,"REVOLVEDORA DE CONCRETO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
182,BARRETA,bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
183,PICO,bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
184,PALAS,bueno,pieza,5,INM-007,"Albañileria","Marco Antonio"
185,PICOLETA,bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
186,"CUCHARAS DE 10""",bueno,pieza,7,INM-007,"Albañileria","Marco Antonio"
187,"BROCAS PARA CONCRETO 1/4",bueno,pieza,4,INM-007,"Albañileria","Marco Antonio"
188,"MARRO DE 8 LIBRAS",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
189,"BIBRADOR P/CONCRETO",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
190,"COMPACTADORA (BAILARINA)",bueno,pieza,1,INM-007,"Albañileria","Marco Antonio"
191,"LLANAS PLANAS",bueno,pieza,5,INM-007,"Albañileria","Marco Antonio"
192,"LLANAS DENTADAS",bueno,pieza,2,INM-007,"Albañileria","Marco Antonio"
193,PLOMADAS,bueno,pieza,3,INM-007,"Albañileria","Marco Antonio"
194,CANDADOS,bueno,pieza,4,INM-007,"Albañileria","Marco Antonio"
